ID;FECHA;TORNEO;MODALIDAD
440620368;2024-10-18;VIERNES - 18/10/24;MEDAL
1729193780;2024-10-17;JUEVES - 17/10/24;MEDAL
-2114755174;2024-10-16;MIERCOLES - 16/10/24;MEDAL
1729019062;2024-10-15;MARTES - 15/10/24;MEDAL
1728605377;2024-10-12;CIUDAD DE VILLA NUEVA - 12/10/24;MEDAL
1728057910;2024-10-05;CIUDAD DE VILLA NUEVA - 05/10/24;FOUR BALL 3/8
1384903014;2024-10-01;MARTES - 01/10/24;MEDAL
1639986647;2024-09-28;44° DE LAS BOLSAS;MEDAL
-1560435822;2024-09-26;JUEVES - 26/09/24;MEDAL
-798194324;2024-09-25;MIERCOLES - 25/09/24;MEDAL
1727019408;2024-09-22;DOMINGO - 22/09/24;MEDAL
-377617878;2024-09-21;PRIMAVERA;MEDAL
774219117;2024-09-20;VIERNES - 20/09/24;MEDAL
1517671769;2024-09-19;JUEVES - 19/09/24;MEDAL
346601337;2024-09-18;MIERCOLES - 18/09/24;MEDAL
1726588830;2024-09-17;MARTES - 17/09/24;MEDAL
-156801863;2024-09-14;HOWARD JHONSON - 14/09/24;MEDAL
-885947400;2024-09-10;DE CAMARADERIA / SENIOR;MEDAL
-1536863396;2024-09-07;PREVIA HOWARD JOHNSON;MEDAL
-1199011154;2024-08-31;LONDON INDUMENTARIA - 31/08/24;MEDAL
-2115152829;2024-08-24;PIERANTONELLI VIAJES Y TURISMO;MEDAL
-1396937379;2024-08-17;DEL CHOCOLATE / EMEPE EXPRESS;MEDAL
-241551827;2024-08-11;DOMINGO - 11/08/24;MEDAL
-520516806;2024-08-10;BIRDIE OPEN - 10/08/24;MEDAL
-1454666563;2024-08-09;VIERNES - 09/08/24;MEDAL
-464348716;2024-08-08;JUEVES - 08/08/24;MEDAL
-655974447;2024-08-07;MIERCOLES - 07/08/24;MEDAL
1722966960;2024-08-06;MARTES - 06/08/24;MEDAL
-931691248;2024-08-03;DE LAS BOCHAS - 03/08/24;MEDAL
1886087251;2024-07-28;DOMINGO - 28/07/24;MEDAL
-596041641;2024-07-27;PASEO DE COMPRAS LA BOMBA;MEDAL
1722006894;2024-07-26;VIERNES - 26/07/24;MEDAL
1273631236;2024-07-20;DIA DEL AMIGO / BIALYSTOK;MEDAL
-146386242;2024-07-13;VACACIONES - 13/07/24;MEDAL
755344952;2024-07-06;DE INVIERNO;MEDAL
-1319822448;2024-06-29;LORES DEL GOLF - 29/06/24;MEDAL
1719422273;2024-06-26;MIERCOLES - 26/06/24;MEDAL
-95976801;2024-06-19;MIERCOLES - 19/06/24;MEDAL
-1400450775;2024-06-16;DOMINGO - 16/06/24;MEDAL
1636524831;2024-06-15;DIA DEL PADRE;MEDAL
32852909;2024-06-08;NOVUM / ESTUDIO JURIDICO;MEDAL
-608140080;2024-06-05;MIERCOLES - 05/06/24;MEDAL
1717523299;2024-06-04;MARTES - 04/06/24;MEDAL
447444276;2024-06-01;MANAGRO - 01/06/24;MEDAL
1717257439;2024-05-31;VIERNES - 31/05/24;MEDAL
1717016162;2024-05-29;SAN JAVIER RESERVAS EN LINEA;MEDAL
-716455549;2024-05-28;MARTES - 28/05/24;MEDAL
1716927814;2024-05-28;25 DE MAYO / 9 HOYOS;MEDAL 9 HOYOS- MEDAL 9 HOYOS
-1885483654;2024-05-24;VIERNES - 24/05/24;MEDAL
1716489305;2024-05-23;JUEVES - 23/05/24;MEDAL
1716314415;2024-05-21;MARTES - 21/05/24;MEDAL
1715897662;2024-05-18;DEL CLUB POR PAREJAS MANAGRO;FOUR BALL 3/8
1715969727;2024-05-17;VIERNES - 17/05/24;MEDAL
-621995679;2024-05-16;JUEVES - 16/05/24;MEDAL
-27382377;2024-05-15;MIERCOLES - 15/05/24;MEDAL
1715711813;2024-05-14;MARTES - 14/05/24;MEDAL
512543896;2024-05-12;DOMINGO - 12/05/24;MEDAL
488380085;2024-05-11;SARMIENTO MATERIALES - 11/05/24;MEDAL
1715278813;2024-05-09;JUEVES - 09/05/24;MEDAL
1146509053;2024-05-07;MARTES - 07/05/24;MEDAL
966490147;2024-05-04;LEGACY - 04/05/24;MEDAL
980993568;2024-05-03;VIERNES - 03/05/24;MEDAL
833838259;2024-05-02;JUEVES - 02/05/24;MEDAL
1714492564;2024-04-30;MARTES - 30/04/24;MEDAL
283362255;2024-04-27;DE LAS BOCHAS - 27/04/24;MEDAL
746159276;2024-04-20;LONDON INDUMENTARIA - 20/04/24;MEDAL
1713110320;2024-04-14;DOMINGO - 14/04/24;MEDAL
-1230982214;2024-04-02;MALVINAS - 02/04/24;MEDAL
-1369629847;2024-03-23;OTOÑO - 23/03/24;MEDAL
-1051052663;2024-03-22;VIERNES - 22/03/24;MEDAL
2067416552;2024-03-21;JUEVES - 21/03/24;MEDAL
-1742945789;2024-03-20;MIERCOLES - 20/03/24;MEDAL
1710868029;2024-03-19;MARTES - 19/03/24;MEDAL
1710520524;2024-03-16;MAZZEO SPORT;MEDAL
1710087784;2024-03-10;DOMINGO - 10/03/24;MEDAL
624367746;2024-03-09;FORMULA M / U/18;MEDAL
-110924263;2024-03-08;T. APERTURA FORMULA M;MEDAL
1709920052;2024-03-08;VIERNES - 08/03/24;MEDAL
1806521051;2024-02-24;VINICIUS - 24/02/24;MEDAL
1795075043;2024-02-17;LUCAS GOLF - 17/02/24;FOUR BALL 3/8
1037392109;2024-02-13;CARNAVAL - 13/02/24;MEDAL
1707510187;2024-02-10;CIRCUITO DE VERANO 2° FECHA - 10/02/24;MEDAL
1707236970;2024-02-06;MARTES - 06/02/24;MEDAL
40973984;2024-02-03;CIRCUITO DE FEBRERO / 1° FECHA;MEDAL
-14087055;2024-01-27;CIRCUITO DE VERANO 4° FECHA - 27/01/24;MEDAL
-2096579389;2024-01-20;CIRCUITO DE VERANO 3° FECHA - 20/01/24;MEDAL
1705615943;2024-01-18;JUEVES - 18/01/24;MEDAL
